ÈÕÆÚ,PM2.5,PM10,SO2,NO2,CO,O3,MAXT,AT,MINT,AH,MAXP,AP,MINP,MAXW,RAIN,MAXR
2021/9/18,5,8,5,18,0.85,46,18.80139,18.08797,17.39523,0.9884628,955.5003,953.6368,952.252,2.406819,42.15614,38.41302
2021/9/19,5,11,5,15,0.58,63,22.43801,18.71547,16.71426,0.8898634,955.7307,954.5112,953.0139,2.776672,19.24285,421.0808
2021/9/20,10,28,5,16,0.38,73,27.99777,21.22435,16.52386,0.6292802,954.6802,951.9268,948.9341,2.758575,0,849.6296
2021/9/21,15,39,5,32,0.52,58,31.04614,22.38891,15.90136,0.6373381,951.2866,949.0742,946.4895,1.663952,0,839.6101
2021/9/22,30,62,7,33,0.83,65,28.80926,22.60871,17.7261,0.7821985,952.0776,949.7154,947.1422,2.887083,0.0800062,680.9639
2021/9/23,22,35,5,20,0.69,51,20.8821,20.10642,18.90194,0.9366261,956.3204,954.5763,951.8209,1.476175,22.83964,370.548
2021/9/24,19,28,5,21,1.02,25,22.54711,20.69464,19.62069,0.9625618,955.6002,953.8264,951.4878,2.441758,25.10137,302.0144
2021/9/25,8,14,5,17,1.02,33,21.65222,19.77558,18.75646,0.9652961,956.3523,954.5759,953.0444,2.697774,16.0679,237.7282
2021/9/26,5,8,5,19,0.7,41,18.35143,17.50751,16.53597,0.9604796,960.5618,959.0176,956.212,1.996828,22.78182,69.12479
2021/9/27,7,11,5,24,0.79,24,18.88625,18.13417,17.32464,0.9522742,959.3179,957.0652,954.4428,1.885022,35.94034,128.5724
2021/9/28,6,11,5,21,0.75,45,22.05868,18.70115,15.56765,0.8869263,957.1788,955.6616,954.2677,1.801597,19.56936,503.2278
2021/9/29,13,26,5,26,0.73,50,25.15478,19.04152,13.54327,0.8334641,956.2254,953.4293,950.3091,2.161923,0.001121313,808.2294
2021/9/30,27,53,5,41,0.9,53,27.02444,21.60409,17.2405,0.8084268,952.517,951.2455,948.7696,1.555952,0,779.369
2021/10/1,27,60,6,42,0.84,66,27.376,22.09732,18.29012,0.7915362,953.8722,951.6522,949.1729,1.785254,0.0573257,682.4885
2021/10/2,33,74,7,35,0.9,60,28.15322,23.14775,17.85586,0.7842103,951.5637,947.6458,944.5204,2.702909,0.005856623,716.9498
2021/10/3,43,86,5,32,0.92,41,25.32879,22.4171,18.24163,0.8587984,953.4845,948.2953,944.7366,3.109309,8.582965,324.0603
2021/10/4,10,30,5,11,0.38,52,17.76959,15.34422,13.38995,0.7926069,963.1659,958.2757,952.7268,4.690661,3.196758,175.7447
2021/10/5,7,10,5,15,0.4,33,13.71795,13.02575,12.22408,0.9497809,963.0483,961.8331,959.8799,2.155582,21.54035,96.53819
2021/10/6,4,8,5,22,0.67,17,13.0491,12.08866,11.42974,0.9645926,964.6877,962.5697,960.4881,2.014436,18.47507,82.08469
2021/10/7,17,29,5,25,0.88,23,16.06536,13.82453,11.41119,0.8793205,962.8895,960.6468,958.4808,1.653183,1.188129,264.9239
2021/10/8,20,35,5,23,0.88,26,17.24761,15.19525,13.91476,0.8748257,958.9904,957.6335,956.0135,2.628128,4.796256,280.5287
2021/10/9,17,33,5,20,0.63,26,14.7619,13.31356,11.03185,0.9544074,971.6112,964.6351,959.3675,3.694512,8.905109,125.5074
2021/10/10,9,23,5,15,0.33,42,10.97552,9.656315,8.404199,0.8318578,974.5718,972.069,970.2808,3.892032,2.501376,316.4524
2021/10/11,14,27,6,26,0.41,25,11.37341,9.789957,8.275842,0.8559531,970.448,966.7287,963.8591,2.319691,1.884881,154.3678
2021/10/12,21,36,5,24,0.55,30,15.88568,12.08953,9.796106,0.8025074,965.8615,964.3865,962.2544,2.410108,0.4976094,505.9816
2021/10/13,26,49,6,26,0.68,31,17.11999,13.5046,10.22323,0.8388424,968.1126,965.7584,962.9717,1.535609,0.03875746,610.2988
2021/10/14,15,40,5,31,0.57,31,15.27673,13.97101,12.63909,0.8342954,970.4431,968.0615,965.9841,2.970409,3.321253,152.2208
2021/10/15,18,46,5,31,0.44,32,14.50161,12.85574,11.17446,0.7095758,971.9698,969.9704,967.3691,3.16297,0.09982055,209.3502
2021/10/16,17,45,5,32,0.45,38,17.59417,13.47947,10.5213,0.6953642,974.6037,972.6643,971.3355,2.3675,0.1481734,508.4242
2021/10/17,25,61,6,40,0.51,16,16.51888,12.03777,9.021722,0.7092798,971.6934,967.1645,963.6018,2.393025,0,452.2437
2021/10/18,32,72,6,40,0.74,21,18.85345,12.53828,7.572046,0.775362,963.4601,961.5959,959.5263,1.584889,0.0208118,694.1416
2021/10/19,41,88,7,42,0.86,12,15.92346,12.34576,9.768304,0.8622755,964.9379,962.4875,961.0459,3.47808,6.307277,370.1902
2021/10/20,19,33,5,28,0.73,26,12.03869,10.4589,9.312646,0.8729025,966.8587,965.3285,963.9463,2.320359,5.809545,255.8535
2021/10/21,15,39,6,33,0.73,28,16.50817,10.55522,5.19256,0.7008797,969.0616,967.0697,965.6934,1.731522,0,722.8308
2021/10/22,26,57,7,45,0.62,25,16.20226,10.28583,4.656335,0.6668304,969.4274,966.7024,963.8173,2.603036,0,616.8022
2021/10/23,46,89,7,47,0.77,20,15.59689,11.63738,7.571344,0.7422696,967.4321,965.0833,963.5402,1.855427,0.3819605,381.9833
2021/10/24,52,108,6,50,0.89,37,17.50576,12.66598,9.398218,0.8003879,967.3159,965.2656,963.0887,1.497656,0.005607958,580.5983
2021/10/25,58,130,7,55,0.97,23,17.84588,12.84172,8.519708,0.8445621,964.3801,962.1446,959.8594,1.966505,2.168142,594.9118
2021/10/26,26,56,5,26,0.61,40,14.98007,12.66081,9.087305,0.8816116,966.4944,964.4442,962.4011,2.784241,11.55092,286.114
2021/10/27,27,54,6,44,0.58,14,15.94628,11.99588,8.079767,0.8324149,966.931,965.0578,963.1531,1.7603,0.01408206,512.127
2021/10/28,35,71,6,43,0.77,24,17.01516,13.68953,11.05895,0.8267189,965.9465,964.4384,962.803,1.133272,0.2061217,435.4565
2021/10/29,29,70,6,44,0.83,21,19.55367,13.58548,9.622125,0.8000277,966.028,963.5738,961.109,1.909005,0,573.815
2021/10/30,46,96,7,55,0.85,27,19.62713,13.41999,7.82876,0.8042069,965.9748,963.4403,961.6002,1.536521,0.002118759,649.2719
2021/10/31,30,65,6,49,0.73,25,17.1806,14.01266,11.86398,0.8078329,968.2316,965.9891,964.5226,1.246724,0.2451278,346.0595
2021/11/1,52,108,7,45,0.9,15,16.00332,12.61066,9.381097,0.8213641,966.2931,964.96,962.4827,2.073445,3.213705,291.3416
2021/11/2,48,101,7,41,0.87,35,17.30966,14.0531,11.86257,0.7620927,966.274,964.1835,961.3968,1.621902,1.93261,542.2631
2021/11/3,50,105,7,59,0.82,21,16.39337,13.23602,10.88424,0.8166433,964.0611,960.5463,957.1277,1.645903,1.739448,374.1575
2021/11/4,76,157,10,57,1.05,27,17.72967,13.65729,9.206415,0.7943312,957.5742,954.1531,950.9512,2.327216,0.01296075,380.6452
2021/11/5,88,186,8,55,1.13,32,19.24136,14.627,11.55239,0.8084931,954.5215,952.49,950.1128,2.639696,0.04224619,430.618
2021/11/6,45,182,6,27,0.6,28,13.3771,7.14297,1.412622,0.7762571,978.3256,966.5421,954.6774,5.57387,7.02509,222.5902
2021/11/7,9,50,5,20,0.35,50,6.173029,2.412954,-0.2580933,0.5097893,979.8452,976.2163,972.5872,5.259711,2.646434,679.5636
2021/11/8,27,73,7,52,0.6,21,9.317651,3.178902,-2.325262,0.5219446,973.0493,970.3108,967.4676,1.746903,0,659.8048
2021/11/9,29,65,8,45,0.63,30,12.16705,5.130441,-0.3208374,0.5298776,970.7982,968.3608,965.7785,4.00299,0,652.8503
2021/11/10,28,67,8,46,0.56,31,12.82806,6.44925,1.622247,0.4471581,968.4833,966.2124,963.689,3.303387,0,645.1179
2021/11/11,34,85,9,46,0.53,30,11.26431,6.099847,2.908624,0.4684739,969.027,967.2026,965.5517,3.026167,0,484.138
2021/11/12,36,92,7,43,0.53,34,13.44341,5.999813,1.35415,0.4555562,969.2856,966.5308,963.5976,2.358744,0,631.3178
2021/11/13,36,82,8,54,0.68,27,16.57449,7.207235,-0.1048035,0.4545272,964.3418,962.4956,960.1415,2.774589,0,625.4835
2021/11/14,54,100,10,67,0.82,17,13.98678,7.750414,2.022272,0.5371231,963.1723,961.8553,959.4065,2.040066,0.002367888,605.4447
2021/11/15,56,106,9,63,0.85,19,14.15151,8.300751,4.03811,0.6158921,962.9065,961.5039,959.1442,1.632529,0,581.7185
2021/11/16,94,173,12,80,1.05,9,12.98565,8.264803,2.772424,0.6678861,966.5773,963.9822,962.2147,1.803151,0,396.4523
2021/11/17,82,149,11,68,1.05,24,16.59731,10.09904,5.685297,0.6950264,966.4576,963.0845,959.2796,1.66353,0,589.2953
2021/11/18,95,161,11,76,1.15,24,17.33746,9.837225,4.408197,0.6948592,958.3525,953.6855,950.0631,2.500427,0,579.5715
2021/11/19,86,153,10,77,1.16,26,15.98763,9.794709,4.973657,0.7147126,956.6968,954.6711,952.6297,1.594196,0,576.8177
2021/11/20,80,159,8,62,1.09,11,10.04424,8.432577,6.583765,0.8257534,967.9566,961.2162,956.2481,2.620672,4.950911,131.404
2021/11/21,16,86,6,26,0.43,44,10.54412,6.538087,1.334894,0.4296827,974.8631,970.937,967.6752,4.126964,0,377.1291
2021/11/22,28,179,7,39,0.48,32,7.24975,1.859463,-1.915259,0.4226951,974.7441,971.2676,967.4697,1.691197,0,604.9624
2021/11/23,54,142,9,59,0.89,16,13.9504,3.759659,-2.880042,0.5487324,967.9524,965.6914,962.9469,1.553211,0,594.4917
2021/11/24,61,125,10,64,1.08,17,15.19756,6.257079,-0.9305176,0.4784629,964.0767,962.3526,960.2245,1.645817,0,588.5174
2021/11/25,69,135,11,71,1.1,16,15.63323,6.865975,1.496759,0.5509706,965.0187,962.8129,961.0912,1.077447,0,580.7851
2021/11/26,89,152,14,72,1.2,14,13.09118,7.001515,1.681421,0.5562287,968.7597,966.5517,964.9116,2.175369,0,485.8805
2021/11/27,135,206,15,76,1.6,10,12.36599,8.333284,5.362268,0.6094989,967.3017,965.8222,963.7599,2.784064,0.8808156,307.9421
2021/11/28,157,232,13,74,1.57,25,12.76101,7.613503,2.33175,0.6889584,968.5166,966.2792,963.8499,2.289058,0.1206323,525.0869
2021/11/29,33,93,7,28,0.56,46,9.405359,5.709952,1.458246,0.5649142,977.7812,973.1506,968.7052,5.680923,3.064286,430.089
2021/11/30,25,68,8,43,0.6,21,8.82348,3.20044,-0.3144287,0.4734795,975.3309,972.2228,969.7279,2.206266,0,574.6707
